2026-07-13 04:03:12,449 INFO polycopycat.engine.engine: 正在初始化目标持仓镜像……
2026-07-13 04:03:13,454 INFO polycopycat.engine.engine: 跟单引擎已启动（paper 模式，3 个目标，滑点上限 0.020，聚合窗口 2.0s）
2026-07-13 04:03:13,455 INFO polycopycat.watcher: 开始监控 3 个地址，每 30.0 秒轮询一次: 0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d, 0xdc8923aa7d6b293af2974c521092d0026ac37ac3, 0x344f3b43711f48770930ce731d934df3b2999dec
2026-07-13 04:03:13,472 INFO polycopycat.watcher: 0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,488 INFO polycopycat.watcher: 0xdc8923aa7d6b293af2974c521092d0026ac37ac3 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,506 INFO polycopycat.watcher: 0x344f3b43711f48770930ce731d934df3b2999dec 基线建立完成，已缓存最近 100 条成交
2026-07-13 04:03:13,779 INFO websocket: Websocket connected
2026-07-13 04:03:13,779 INFO polycopycat.stream: 实时成交流已连接: wss://ws-live-data.polymarket.com
2026-07-13 04:05:15,694 INFO polycopycat.engine.engine: 过滤: 信号已过期 233s（阈值 120s） —— 0x20d2…e29d BUY 9.00 @ 0.750 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,695 INFO polycopycat.engine.engine: 过滤: 信号已过期 233s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.250 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,696 INFO polycopycat.engine.engine: 过滤: 信号已过期 231s（阈值 120s） —— 0x20d2…e29d SELL 6.00 @ 0.550 [Up] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,697 INFO polycopycat.engine.engine: 过滤: 信号已过期 231s（阈值 120s） —— 0x20d2…e29d BUY 9.13 @ 0.670 [Down] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,699 INFO polycopycat.engine.engine: 过滤: 信号已过期 231s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.250 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,700 INFO polycopycat.engine.engine: 过滤: 信号已过期 230s（阈值 120s） —— 0x20d2…e29d BUY 43.45 @ 0.320 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,701 INFO polycopycat.engine.engine: 过滤: 信号已过期 230s（阈值 120s） —— 0x20d2…e29d BUY 6.39 @ 0.310 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,702 INFO polycopycat.engine.engine: 过滤: 信号已过期 230s（阈值 120s） —— 0x20d2…e29d SELL 26.29 @ 0.700 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,703 INFO polycopycat.engine.engine: 过滤: 信号已过期 230s（阈值 120s） —— 0x20d2…e29d BUY 5.20 @ 0.500 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,704 INFO polycopycat.engine.engine: 过滤: 信号已过期 228s（阈值 120s） —— 0x20d2…e29d BUY 9.00 @ 0.360 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,705 INFO polycopycat.engine.engine: 过滤: 信号已过期 224s（阈值 120s） —— 0x20d2…e29d BUY 5.00 @ 0.430 [Down] Bitcoin Up or Down - July 13, 12:00AM-12:15AM ET
2026-07-13 04:05:15,707 INFO polycopycat.engine.engine: 过滤: 信号已过期 221s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.810 [Down] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,708 INFO polycopycat.engine.engine: 过滤: 信号已过期 219s（阈值 120s） —— 0x20d2…e29d SELL 1.00 @ 0.790 [Down] XRP Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,709 INFO polycopycat.engine.engine: 过滤: 信号已过期 209s（阈值 120s） —— 0x20d2…e29d SELL 2.00 @ 0.610 [Down] Ethereum Up or Down - July 13, 12:00AM-12:05AM ET
2026-07-13 04:05:15,710 INFO polycopycat.engine.engine: 过滤: 信号已过期 186s（阈值 120s） —— 0x20d2…e29d BUY 7.10 @ 0.680 [Up] Bitcoin Up or Down - July 13, 12:00AM-12:05AM ET
